Sound Design                   1,      1000,			
Graphic Design               789,   2949000,
Illustration                  11,     56500,
3D Design                      9,     35500,
UI/UX Design                  91,    479700,
Jewellery Design               3,     16500,
Industrial Design              3,     35000,
Fashion Design                 8,     12500,
Architecture Design            4,     14000,
Instructional Designing        2,     25000,
			     921,   3624700, 3935, [ AVG ]
--------------------------------------------------------------------------------------------------              
Law/ Legal                    45,    128000, 2844  [ AVG ]
--------------------------------------------------------------------------------------------------
iot                           17,    755000, 
App Dev                      386,   2317700,
Web Dev                      878,   4706350,
Data Science                  96,    549000,
IT                           215,   1166200,
		            1592,  13118950, 8240.54648241 [ AVG ]
--------------------------------------------------------------------------------------------------			    
Engineering                   19,    102500,5394.73684211  [ AVG ]
--------------------------------------------------------------------------------------------------
Research                      78,    368167,4720.08974359  [ AVG ]
--------------------------------------------------------------------------------------------------
Marketing                   1630,   6043801,3707.85337423  [ AVG ]
--------------------------------------------------------------------------------------------------
Human Resources              160,    545700,3410.625       [ AVG ]
--------------------------------------------------------------------------------------------------
Business Development         867,   3796700,4379.12341407  [ AVG ]
--------------------------------------------------------------------------------------------------
TeleCalling                  110,    536150,4874.09090909  [ AVG ]
--------------------------------------------------------------------------------------------------
Content                     1145,   4083440,3566.3231441   [ AVG ]
--------------------------------------------------------------------------------------------------
Animation                     29,    110500,
Editing                      151,    524200,
Creation                      37,    250000,
		             217,    884700,4076.95852535  [ AVG ] 
--------------------------------------------------------------------------------------------------                              
Management                    93,    392750,4223.11827957  [ AVG ]
--------------------------------------------------------------------------------------------------
Operations                   179,   1020100,5698.88268156  [ AVG ]
--------------------------------------------------------------------------------------------------			           
Teaching                      97,    553000,5701.03092784  [ AVG ]
--------------------------------------------------------------------------------------------------   
Presenter                     20,     95500,
Transcription                  3,     22000,
Voice over                    14,     61000,
			      37,    178500,4824.32432432  [ AVG ]                          
--------------------------------------------------------------------------------------------------
Total                       7190,  31752458,
